model,layer,patch,ctrl_mean,ctrl_std,adhd_mean,adhd_std,n_seeds
ExpC,1,13,0.0382869653403759,0.0007486411486752331,0.03903251141309738,0.0007613371126353741,5
ExpC,1,14,0.03896070271730423,0.0011107259197160602,0.03959696367383003,0.0012195486342534423,5
ExpC,1,15,0.038334351032972336,0.0010925818933174014,0.03901863843202591,0.001176453079096973,5
ExpC,1,16,0.038623131811618805,0.0013043016660958529,0.03932703658938408,0.0012525598285719752,5
ExpC,1,17,0.038260407745838165,0.0007484033121727407,0.038827624171972275,0.0007624404970556498,5
ExpC,1,18,0.03925461322069168,0.0006174525478854775,0.03982941061258316,0.0006560597103089094,5
ExpC,1,19,0.03952733427286148,0.002228871686384082,0.04023045673966408,0.001739509287290275,5
ExpC,1,20,0.040204912424087524,0.0011195311089977622,0.040872152894735336,0.0005599260330200195,5
ExpC,1,21,0.038469720631837845,0.0006771578337065876,0.03925073891878128,0.00038131498149596155,5
ExpC,1,22,0.04326239973306656,0.0017603434389457107,0.04396525025367737,0.0012912745587527752,5
ExpC,1,23,0.05958857014775276,0.0037591084837913513,0.05201679468154907,0.0012692371383309364,5
